Number,Title,Vehicle_class,Manufacturer,Features,Acquisition,Price,Storage_location,Delivery_method,Modifications,Resale_flag,Resale_price,Race_availability,Top_speed_in_game,Based_on,Seats,weight_in_kg,drive_train,gears,release_date,release_dlc,top_speed_real,lap_time,bulletproof,weapon1_resistance,weapon2_resistance,weapon3_resistance,weapon4_resistance,weapon5_resistance,speed,acceleration,braking,handling,overall,vehicle_url
1,  Volatol,Planes,NA,"Armored Vehicle, Bombs Mod, Bulletproof - Rear, Countermeasures, Has Liveries, Has Trade Price, No Passive Mode, Weaponized Vehicle",Warstock Cache & Carry,"$3,724,000 ",Hangar (Personal Aircraft),Interaction Menu - Aircraft,Hangar Aircraft Workshop,Can be sold only if purchased (High-End),"$2,234,400	
	($2,421,475 when fully upgraded)",Transform Races Only,155.34 mph (250.00 km/h),"Avro Vulcan, Myasishchev M-4, de Haviland Comet",4,"40,000	KG",NA,NA,12-Dec-17,1.42 The Doomsday Heist,165.50 mph (266.35 km/h),00:53.5,Bulletproof from the rear (rear has no windows),3,1,2,1,1,"Speed
76.07","Acceleration
28.58","Braking
32.50","Handling
1.01","Overall
34.54",https://www.gtabase.com//grand-theft-auto-v/vehicles/volatol
2, Sadler,Utility,Vapid,"Has Variants, Snow Vehicle - North Yankton, Towing Hitch",Can be stolen / found,"$35,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$21,000	
	($109,375 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),First Generation Ford F250 Super Duty,4,"2,100	KG",NA,5,17-Sep-13,1.01 Game Launch,100.00 mph (160.93 km/h),01:19.1,No,1,1,2,1,1,"Speed
69.75","Acceleration
50.00","Braking
20.00","Handling
62.12","Overall
50.47",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-sadler
3, Benefactor Terrorbyte,Commercial,Benefactor,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear, Command Center, Homing Missiles, No Passive Mode, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$1,375,000 ",Nightclub Warehouse,Interaction Menu - Services,Point of Storage,Cannot be sold,NA,Cannot be used in Races,74.56 mph (120.00 km/h),Mercedes-Benz Zetros 6x6 Expedition Vehicle,4,"10,000	KG",RWD,6,14-Aug-18,1.44 After Hours,87.25 mph (140.41 km/h),01:28.3,Bullet resistant windows from all sides (rear has no windows),34,34,81,17,8,"Speed
64.39","Acceleration
40.00","Braking
8.33","Handling
59.09","Overall
42.95",https://www.gtabase.com//grand-theft-auto-v/vehicles/terrorbyte
4, Mammoth Dodo,Planes,Mammoth,"Armored Vehicle, Bulletproof - Rear, Float on Water, Has Liveries, Has Variants, Mystery Prize, Passengers can hang on side",Elitas Travel,"$500,000 ",Pegasus Vehicle,Pegasus Concierge,Paint Job Only,Cannot be sold,NA,Transform Races Only,155.34 mph (250.00 km/h),De Havilland Canada DHC-2 Beaver,4,"2,000	KG",RWD,NA,18-Nov-14,1.18 PS4 & Xbox One Release,134.25 mph (216.05 km/h),00:55.3,Bulletproof from the rear (rear has no windows),2,1,2,1,1,"Speed
76.07","Acceleration
25.00","Braking
18.99","Handling
25.95","Overall
36.50",https://www.gtabase.com//grand-theft-auto-v/vehicles/mammoth-dodo
5, Fathom FQ 2,SUVs,Fathom,Mystery Prize,Can be stolen / found,"$50,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$30,000	
	($96,100 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Infiniti QX70,4,"2,400	KG",NA,5,17-Sep-13,1.01 Game Launch,104.00 mph (167.37 km/h),01:18.9,No,1,1,2,1,1,"Speed
72.43","Acceleration
45.00","Braking
8.33","Handling
60.61","Overall
46.59",https://www.gtabase.com//grand-theft-auto-v/vehicles/fathom-fq-2
6, Dinka Enduro,Motorcycles,Dinka,"Has Liveries, Has Variants, Mystery Prize",Southern S.A. Super Autos,"$48,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$28,800	
	($84,300 when fully upgraded)",Can be used in Races,73.94 mph (119.00 km/h),"Honda XL350, XR500 & CB Series",2,"220	KG",RWD,4,10-Mar-15,1.21 Heists DLC,107.25 mph (172.60 km/h),01:09.1,No,1,1,2,1,1,"Speed
63.85","Acceleration
72.50","Braking
36.67","Handling
65.45","Overall
59.62",https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-enduro
7, Enus Cognoscenti 55 (Armored),Sedans,Enus,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear",Legendary Motorsport,"$396,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$237,600	
	($303,700 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),"Bentley Continental Flying Spur, Mayback Type 57-62, Rover 75",4,"2,600	KG",RWD,5,15-Dec-15,1.31 Executives and Other Criminals,112.25 mph (180.65 km/h),01:14.0,Bullet resistant windows from all sides,2,2,4,1,1,"Speed
77.80","Acceleration
65.00","Braking
18.33","Handling
66.67","Overall
56.95",https://www.gtabase.com//grand-theft-auto-v/vehicles/enus-cognoscenti-55-armored
8, Karin 190z,Sports Classics,Karin,"Has Liveries, JDM Car",Legendary Motorsport,"$900,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$540,000	
	($758,863 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),"Datsun 240Z/Nissan Fairlady Z/Nissan S30, Toyota 2000GT",2,"1,100	KG",RWD,5,20-Feb-18,1.42 The Doomsday Heist,109.75 mph (176.63 km/h),01:10.4,No,1,1,2,1,1,"Speed
75.12","Acceleration
67.50","Braking
31.67","Handling
69.70","Overall
61.00",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-190z
9, RUNE Cheburek,Sports Classics,RUNE,"Has Liveries, Mystery Prize",Southern S.A. Super Autos,"$145,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$87,000	
	($268,620 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),"VAZ-2101, VAZ-2106, VAZ-2107",4,"1,100	KG",RWD,5,5-Jun-18,1.43 Southern SA Super Sport Series,108.75 mph (175.02 km/h),01:12.0,No,1,1,2,1,1,"Speed
75.12","Acceleration
66.25","Braking
26.67","Handling
68.18","Overall
59.05",https://www.gtabase.com//grand-theft-auto-v/vehicles/rune-cheburek
10, HVY Barracks,Military,HVY,Has Variants,Warstock Cache & Carry,"$450,000 ",Pegasus Vehicle,Pegasus Concierge,Cannot be modified,Cannot be sold,NA,Transform Races Only,68.35 mph (110.00 km/h),Daimler military chassis,10,"9,000	KG",RWD,5,17-Sep-13,1.01 Game Launch,82.50 mph (132.77 km/h),01:44.6,No,1,1,2,1,1,"Speed
59.02","Acceleration
27.50","Braking
10.00","Handling
50.00","Overall
36.63",https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-barracks
11, Western Wolfsbane,Motorcycles,Western,Has Liveries,Southern S.A. Super Autos,"$95,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$57,000	
	($246,305 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),Harley Davidson 1200,2,"180	KG",RWD,5,4-Oct-16,1.36 Bikers,101.50 mph (163.35 km/h),01:17.4,No,1,1,2,1,1,"Speed
69.75","Acceleration
53.75","Braking
40.00","Handling
50.00","Overall
53.38",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-wolfsbane
12, Gallivanter Baller LE,SUVs,Gallivanter,Has Variants,Legendary Motorsport,"$149,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$89,400	
	($221,150 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Range Rover Evoque/Range Rover Sport,4,"2,175	KG",NA,5,15-Dec-15,1.31 Executives and Other Criminals,108.75 mph (175.02 km/h),01:13.9,No,1,1,2,1,1,"Speed
72.43","Acceleration
68.75","Braking
20.00","Handling
60.61","Overall
55.45",https://www.gtabase.com//grand-theft-auto-v/vehicles/gallivanter-baller-le
13, Benefactor Dubsta 6x6,Off-Road,Benefactor,NA,Warstock Cache & Carry,"$249,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$149,400	
	($291,650 when fully upgraded)",Can be used in Races,85.13 mph (137.00 km/h),"6x6 Mercedes-Benz G63, G-Class Brabus",6,"3,500	KG",NA,6,17-Jun-14,1.14 I'm Not a Hipster,103.25 mph (166.16 km/h),01:16.0,No,1,1,2,1,1,"Speed
73.51","Acceleration
70.00","Braking
20.00","Handling
60.61","Overall
56.03",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-dubsta-6x6
14, Benefactor Feltzer,Sports,Benefactor,Mystery Prize,Legendary Motorsport,"$145,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$87,000	
	($226,850 when fully upgraded)",Can be used in Races,95.07 mph (153.00 km/h),Mercedes-Benz SL65 AMG,2,"1,450	KG",RWD,6,17-Sep-13,1.01 Game Launch,119.50 mph (192.32 km/h),01:03.2,No,1,1,2,1,1,"Speed
82.09","Acceleration
85.00","Braking
26.67","Handling
80.30","Overall
68.52",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-feltzer
15, Progen Itali GTB Custom,Super,Progen,"Custom Vehicle, Has Liveries",Benny's Original Motor Works,"$495,000 ",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$297,000	
	($551,303 when fully upgraded)",Can be used in Races,98.92 mph (159.20 km/h),"McLaren 570S/650S/P14, Trion Nemesis",2,"1,600	KG",NA,6,10-Jan-17,1.37 Import/Export,127.00 mph (204.39 km/h),01:02.8,No,1,1,2,1,1,"Speed
85.42","Acceleration
85.00","Braking
40.00","Handling
81.33","Overall
72.94",https://www.gtabase.com//grand-theft-auto-v/vehicles/progen-itali-gtb-custom
16, Pfister Comet SR,Sports,Pfister,NA,Legendary Motorsport,"$1,145,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$687,000	
	($850,775 when fully upgraded)",Can be used in Races,97.87 mph (157.50 km/h),Porsche 997 GT2 RS,2,"1,550	KG",RWD,6,27-Feb-18,1.42 The Doomsday Heist,122.00 mph (196.34 km/h),01:02.0,No,1,1,2,1,1,"Speed
86.12","Acceleration
90.00","Braking
40.00","Handling
100.00","Overall
79.03",https://www.gtabase.com//grand-theft-auto-v/vehicles/pfister-comet-sr
17, Maxwell Vagrant,Off-Road,Maxwell,"Has Liveries, Has Trade Price",Southern S.A. Super Autos,"$2,214,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,328,400	
	($1,486,970 when fully upgraded)",Can be used in Races,92.99 mph (149.65 km/h),Ariel Nomad,2,"670	KG",RWD,6,12-Dec-19,1.49 Diamond Casino Heist,122.50 mph (197.14 km/h),01:04.5,No,1,1,2,1,1,"Speed
80.29","Acceleration
83.13","Braking
20.83","Handling
71.21","Overall
63.87",https://www.gtabase.com//grand-theft-auto-v/vehicles/maxwell-vagrant
18, Vapid Chino,Muscle,Vapid,"Has Variants, Mystery Prize, Removable Roof",Legendary Motorsport,"$225,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$135,000	
	($204,225 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),"1965 Lincoln Continental, 1965 Chrysler Imperial, 1970s Ford Thunderbird(s)",2,"2,300	KG",RWD,4,8-Jul-15,1.28 Ill-Gotten Gains Part 2,94.25 mph (151.68 km/h),01:19.9,No,1,1,2,1,1,"Speed
75.12","Acceleration
70.00","Braking
26.67","Handling
68.18","Overall
59.99",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-chino
19, Benefactor Schafter V12 (Armored),Sedans,Benefactor,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear",Legendary Motorsport,"$325,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$195,000	
	($269,625 when fully upgraded)",Can be used in Races,93.21 mph (150.00 km/h),Brabus E V12,4,"1,650	KG",RWD,6,15-Dec-15,1.31 Executives and Other Criminals,123.50 mph (198.75 km/h),01:05.3,Bullet resistant windows from all sides,2,2,4,1,1,"Speed
80.48","Acceleration
72.50","Braking
30.67","Handling
77.27","Overall
65.23",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-schafter-v12-armored
20, Declasse Yosemite Rancher,Off-Road,Declasse,"Custom Vehicle, Has Liveries, Removable Roof",Benny's Original Motor Works,"$700,000 ",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$420,000	
	($737,058 when fully upgraded)",Can be used in Races,86.37 mph (139.00 km/h),Chevrolet C10,2,"1,400	KG",NA,4,11-Aug-20,1.51 LS Summer Special,105.50 mph (169.79 km/h),01:11.3,No,1,1,2,1,1,"Speed
74.58","Acceleration
68.75","Braking
16.00","Handling
63.64","Overall
55.74",https://www.gtabase.com//grand-theft-auto-v/vehicles/yosemite-rancher
21, Grotti Cheetah Classic,Sports Classics,Grotti,NA,Legendary Motorsport,"$865,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$519,000	
	($693,400 when fully upgraded)",Can be used in Races,94.45 mph (152.00 km/h),"Ferrari Testarossa, 512 BB",2,"1,500	KG",RWD,5,11-Jul-17,1.40 Gunrunning Pack,120.25 mph (193.52 km/h),01:04.9,No,1,1,2,1,1,"Speed
81.56","Acceleration
75.00","Braking
26.67","Handling
80.30","Overall
65.88",https://www.gtabase.com//grand-theft-auto-v/vehicles/grotti-cheetah-classic
22, Cheval Picador,Muscle,Cheval,"Has Variants, Mystery Prize",Can be stolen / found,"$9,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$5,400	
	($69,300 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Chevrolet El Camino,2,"1,600	KG",NA,5,17-Sep-13,1.01 Game Launch,102.25 mph (164.56 km/h),01:15.1,No,1,1,2,1,1,"Speed
72.43","Acceleration
55.00","Braking
26.67","Handling
62.12","Overall
54.06",https://www.gtabase.com//grand-theft-auto-v/vehicles/cheval-picador
23, Vapid Peyote Gasser,Muscle,Vapid,"Has Liveries, Removable Roof",Southern S.A. Super Autos,"$805,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$483,000	
	($647,338 when fully upgraded)",Can be used in Races,92.27 mph (148.50 km/h),First generation Ford Thunderbird,2,"2,100	KG",RWD,5,28-Nov-19,1.48 Diamond Casino & Resort,118.00 mph (189.90 km/h),01:13.4,No,1,1,2,1,1,"Speed
79.68","Acceleration
86.13","Braking
30.00","Handling
68.48","Overall
66.07",https://www.gtabase.com//grand-theft-auto-v/vehicles/peyote-gasser
24,  P-45 Nokota,Planes,NA,"Armored Vehicle, Bulletproof - Rear, Countermeasures, Has Liveries, Has Trade Price, Homing Missiles, No Passive Mode, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$2,653,350 ",Hangar (Personal Aircraft),Interaction Menu - Aircraft,Hangar Aircraft Workshop,Can be sold only if purchased (High-End),"$1,592,010	
	($1,819,335 when fully upgraded)",Can be used in Races,204.18 mph (328.60 km/h),"North American P-51 Mustang, Messerschmitt Bf 109, Focke-Wulf Fw 190",1,"3,200	KG",NA,NA,7-Nov-17,1.41 Smuggler's Run,201.00 mph (323.48 km/h),00:37.1,Bulletproof from the rear (rear has no windows),3,1,2,1,1,"Speed
78.50","Acceleration
69.50","Braking
62.50","Handling
66.00","Overall
69.13",https://www.gtabase.com//grand-theft-auto-v/vehicles/p-45-nokota
25, Enus Cognoscenti (Armored),Sedans,Enus,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear",Legendary Motorsport,"$558,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$334,800	
	($400,900 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),"Bentley Continental Flying Spur, Mayback Type 57-62, Rover 75",4,"2,800	KG",RWD,5,15-Dec-15,1.31 Executives and Other Criminals,109.75 mph (176.63 km/h),01:16.9,Bullet resistant windows from all sides,2,2,4,1,1,"Speed
75.12","Acceleration
63.75","Braking
17.33","Handling
63.64","Overall
54.96",https://www.gtabase.com//grand-theft-auto-v/vehicles/enus-cognoscenti-armored
26, Nagasaki Blazer,Off-Road,Nagasaki,"Has Variants, Mystery Prize",Can be stolen / found,"$8,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$4,800	
	($66,200 when fully upgraded)",Can be used in Races,74.56 mph (120.00 km/h),Yamaha YFZ450,1,"600	KG",NA,5,17-Sep-13,1.01 Game Launch,98.75 mph (158.92 km/h),01:08.3,No,1,1,2,1,1,"Speed
64.39","Acceleration
50.00","Braking
33.33","Handling
78.79","Overall
56.63",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-blazer
27, Ocelot R88 (Formula 1 Car),Open Wheel,Ocelot,"Has Liveries, KERS Boost",Legendary Motorsport,"$3,115,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,869,000	
	($2,096,225 when fully upgraded)",Can be used in Races,100.97 mph (162.50 km/h),"Lotus 97T, Alfa Romeo 179B and various 1980 F1 Cars",1,"585	KG",RWD,6,27-Feb-20,1.49 Diamond Casino Heist,122.00 mph (196.34 km/h),00:56.8,No,1,1,2,1,1,"Speed
87.19","Acceleration
100.00","Braking
41.67","Handling
98.95","Overall
81.95",https://www.gtabase.com//grand-theft-auto-v/vehicles/ocelot-r88-f1
28, Truffade Thrax,Super,Truffade,Has Liveries,Legendary Motorsport,"$2,325,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,395,000	
	($1,585,090 when fully upgraded)",Can be used in Races,98.49 mph (158.50 km/h),"Bugatti Divo, Italdesign Zerouno",2,"1,960	KG",NA,7,23-Jul-19,1.48 Diamond Casino & Resort,124.00 mph (199.56 km/h),00:59.3,No,1,1,2,1,1,"Speed
85.04","Acceleration
85.04","Braking
40.00","Handling
100.00","Overall
77.52",https://www.gtabase.com//grand-theft-auto-v/vehicles/truffade-thrax
